Country,GDP Per Capita,Life Satisfaction
Afghanistan,1803.98748708124,2.66171813
Albania,11803.4305936025,4.639548302
Algeria,13913.839363481899,5.248912334
Argentina,18933.9071474396,6.039330006
Armenia,8787.57993972036,4.287736416
Australia,44648.7099113362,7.25703764
Austria,45436.6858219914,7.293727875
Azerbaijan,15847.418832752901,5.152279377
Bahrain,43290.704518074504,6.227320671
Bangladesh,3523.9838506259202,4.309771061
Belarus,17167.9672600246,5.552915096
Belgium,42658.57617009,6.928347587999999
Benin,2064.23633398033,4.853180885
Bolivia,6885.8285774203505,5.65055275
Bosnia and Herzegovina,11713.8947839235,5.089902401
Botswana,15807.3735945626,3.5048811439999996
Brazil,14103.4515313404,6.332929134
Bulgaria,18563.3066168958,5.096901894
Burkina Faso,1703.1016286775198,4.646891117
Cambodia,3645.0695206009295,4.585842133
Cameroon,3364.9260563511302,5.07405138
Canada,44017.5909063335,7.414868355
Central African Republic,661.239967689311,3.475862026
Chad,1768.15341090621,4.558937073
Chile,22767.0371912423,6.3201193810000005
China,15308.712122905,5.0990614889999994
Colombia,13254.949218477901,6.157341957000001
Congo,4881.40574395234,4.883991241
Costa Rica,15524.994563054199,7.22518158
Cote d'Ivoire,3601.00590113374,5.037734985
Croatia,22669.796546633,5.343165873999999
Cyprus,32415.132230079398,6.062051296
Czech Republic,32605.9063265661,6.789567947
Democratic Republic of Congo,808.133213366763,4.311033248999999
Denmark,46682.514720466905,7.593702316
Dominican Republic,14600.8605841474,5.605202675
Ecuador,10581.9364286536,5.839518547000001
Egypt,10550.206495664599,3.929344177
El Salvador,7292.45780376927,6.339318275
Estonia,29481.251806797798,5.938395977000001
Ethiopia,1729.9266389468,4.180315495
Finland,40585.7210349228,7.788251877
France,38605.6708967878,6.635222435
Gabon,16562.4133558094,4.782382965
Gambia,1561.7668428766299,4.117938995
Georgia,9745.07890399104,4.45077467
Germany,45229.2452947032,7.0743246079999995
Ghana,4227.62984443235,5.481310843999999
Greece,24574.382476123,5.14824152
Guatemala,7423.80759192956,6.325118542
Guinea,1998.9257198823498,4.873722553
Haiti,1653.17250369424,3.823865652
Honduras,4541.79525706075,6.019985676
Hong Kong,56054.919832030304,5.362474918
Hungary,26777.5607913953,6.065038681
Iceland,46482.9582874747,7.476213932
India,6426.67440634599,4.046111107
Indonesia,11188.7440161175,5.098401546
Iran,19082.619603326002,4.716783047
Iraq,15663.9860708075,4.462399006
Ireland,67335.2934089652,7.060155392
Israel,33132.3203044888,7.3310360910000005
Italy,35220.0837894122,6.198870182
Jamaica,8193.57064989072,5.889759064
Japan,39002.2233247384,5.910676479
Jordan,8337.489701029,4.808082581
Kazakhstan,24055.588323854503,5.882351398
Kenya,2993.0284484752697,4.475654125
Kosovo,9795.83361233436,6.149199962999999
Kuwait,65530.5365781216,6.093905449
Kyrgyzstan,3393.4736128414397,5.6295366289999995
Laos,6397.35982538814,4.623140812
Latvia,25063.8455453213,5.977817535
Lebanon,13367.5650219298,5.153989792
Lesotho,2851.15275428862,3.795300722
Liberia,752.787839463112,4.424490929
Libya,17881.5093512674,5.646852493
Lithuania,29524.264600668397,6.272940636
Luxembourg,94277.9653571589,7.061380862999999
Macedonia,13111.213574425501,5.233866692
Madagascar,1416.4395072846398,4.078620433999999
Malawi,1095.0420887580099,3.416862965
Mali,2014.30586969334,4.741850376
Malta,36513.323442225,6.675665855
Mauritania,3597.63253011137,4.6781597139999995
Mauritius,20292.7446336139,6.174117565
Mexico,17336.469071694,6.410299301
Moldova,5189.97166016505,5.325530529
Mongolia,11840.8461179669,5.333850384
Montenegro,16409.2876960117,5.614798546
Morocco,7485.01295069865,5.312482834
Mozambique,1136.10256446235,4.279863358
Myanmar,5591.5968799618,4.1543416980000005
Namibia,9541.80829205217,4.441306114
Nepal,2442.80394231834,4.736692429
Netherlands,48472.544541153096,7.458965302
New Zealand,36085.842777197206,7.32718277
Nicaragua,5321.44351591724,6.476356506
Niger,926.0001419596581,4.615673542
Nigeria,5338.45412665139,5.321928024
Norway,64800.0573263061,7.578744887999999
Pakistan,5034.70775633353,5.8308706279999996
Palestine,4449.8983245299605,4.62813282
Panama,22267.0368216362,6.567658901000001
Paraguay,8827.01005811482,5.71329546
Peru,12236.7061519677,5.710936546
Philippines,7599.188060403871,5.594270229
Poland,27216.4448774425,6.201268196
Portugal,27936.8960928735,5.711499214
Romania,23313.199343185097,6.089904785
Russia,24765.953633626097,5.578742981
Rwanda,1854.2107908736102,3.10837388
Saudi Arabia,49045.4112618159,6.2942824360000005
Senegal,2470.57958207519,4.683024883
Serbia,14048.8806366748,5.122031212
Sierra Leone,1390.3002674848199,4.089562416000001
Singapore,85535.3832002,6.378437996000001
Slovakia,30155.1521229863,6.3655090329999995
